clay__total,prediction
14.0,-0.1427307314291209
15.0,-0.1380209477903109
16.0,-0.1379134942953414
17.0,-0.13055483177105703
18.0,-0.12937851530852457
19.0,-0.13422919423213298
20.0,-0.13224083916952425
21.0,-0.13197971298199748
22.0,-0.13174337875677183
23.0,-0.13222326655500158
24.0,-0.13349625515283287
25.0,-0.1333183282789266
26.0,-0.1333142577249016
