dry__bulk_density,prediction
153.0,-0.12732587468808693
154.0,-0.1273259752255923
155.0,-0.12732632851579273
156.0,-0.12738803751801378
157.0,-0.12740702566364587
158.0,-0.12739329732518131
159.0,-0.1275814919375455
160.0,-0.1276541101413312
161.0,-0.13219562313680328
162.0,-0.13153153286821748
163.0,-0.13132878931613384
164.0,-0.13182583662879271
165.0,-0.13060289376354237
166.0,-0.13061617279123758
