cation__exchange_capacity,prediction
126.0,-0.20159073290531598
127.81632653061224,-0.2036242185695893
129.6326530612245,-0.20480340140462863
131.44897959183675,-0.20614672100217754
133.26530612244898,-0.22061378496989775
135.08163265306123,-0.22107729425563577
136.89795918367346,-0.2175460304138321
138.71428571428572,-0.20716217271368856
140.53061224489795,-0.20847751213087695
142.3469387755102,-0.18623875668264625
144.16326530612244,-0.17911799838368073
145.9795918367347,-0.18202755004494314
147.79591836734693,-0.18182116650372382
149.6122448979592,-0.18608990735100725
151.42857142857144,-0.18047154999549625
153.24489795918367,-0.18094563144271372
155.0612244897959,-0.19472419002735164
156.87755102040816,-0.1482509740086066
158.69387755102042,-0.1500636048830256
160.51020408163265,-0.16077773272761256
162.32653061224488,-0.16460561320483655
164.14285714285714,-0.16503831723242104
165.9591836734694,-0.16868414151960515
167.77551020408163,-0.17870294731380718
169.59183673469389,-0.18452273790109908
171.40816326530611,-0.1759731260277575
173.22448979591837,-0.1611795029720812
175.0408163265306,-0.1575266148243457
176.85714285714286,-0.1518946612291742
178.67346938775512,-0.15001914028052718
180.48979591836735,-0.15075192845957197
182.30612244897958,-0.14977131362346766
184.12244897959184,-0.1484912446191001
185.9387755102041,-0.14517017945606198
187.75510204081633,-0.14009218936059512
189.57142857142856,-0.13823093204227999
191.3877551020408,-0.13801561764896286
193.20408163265307,-0.137412894496425
195.0204081632653,-0.1354390662379062
196.83673469387753,-0.1356415243517148
198.6530612244898,-0.13754552248243493
200.46938775510205,-0.13847544826784308
202.28571428571428,-0.13830324687688852
204.10204081632654,-0.13603628964948566
205.9183673469388,-0.1380130930626319
207.73469387755102,-0.1386899199984559
209.55102040816325,-0.1405597074794105
211.3673469387755,-0.13925671813557955
213.18367346938777,-0.13891987127522779
215.0,-0.13646977126321017
