landcover,prediction
21.0,-0.1262733034398957
22.0,-0.13436963494351967
23.0,-0.13305032140460168
24.0,-0.1330755063759688
42.0,-0.1292122102072156
43.0,-0.12378906071936363
52.0,-0.13089942419115608
71.0,-0.12777208376143645
90.0,-0.11931421322347174
