soil__density,prediction
2707.964599609375,-0.13118206617592712
2724.137939453125,-0.13118282089346617
2725.663818359375,-0.13118281999960468
2741.37939453125,-0.1311841886189657
2743.36279296875,-0.1311841886189657
2758.62060546875,-0.13121667861929517
2761.06201171875,-0.13121675714771813
2775.862060546875,-0.13099933592366111
2778.760986328125,-0.13091512657963897
2793.103515625,-0.13041185770452443
2796.460205078125,-0.130415529425889
2810.3447265625,-0.13247100974960696
2814.1591796875,-0.1323875202362275
2827.586181640625,-0.1320798598183547
2831.8583984375,-0.13193398278065524
2841.530029296875,-0.13427547182096358
2844.82763671875,-0.13427546957398329
2849.5576171875,-0.13426992548891262
2859.744873046875,-0.13359668778618844
2867.256591796875,-0.13362593538718637
2877.9599609375,-0.1338460146704858
2884.955810546875,-0.13379200923698428
2896.1748046875,-0.13331474476625116
2902.65478515625,-0.12821076473931745
2914.389892578125,-0.12707043918035357
2920.35400390625,-0.12707236270404537
2932.604736328125,-0.12775301842248596
2938.052978515625,-0.1281235276111143
2950.819580078125,-0.1340603628807908
2969.03466796875,-0.13442384244255756
2987.24951171875,-0.13468277150856406
3005.464599609375,-0.13664231202497176
3023.679443359375,-0.13658434048122975
