sand__total,prediction
44.0,-0.10844863951206207
45.0,-0.10844863951206207
46.0,-0.10844863951206207
47.0,-0.10844863951206207
48.0,-0.10830613970756531
49.0,-0.10830613970756531
50.0,-0.10830613970756531
51.0,-0.10830613970756531
52.0,-0.10830613970756531
53.0,-0.10830613970756531
54.0,-0.10991255939006805
55.0,-0.11000493168830872
56.0,-0.10938125848770142
57.0,-0.10938125848770142
58.0,-0.11359648406505585
59.0,-0.13605552911758423
60.0,-0.13679158687591553
61.0,-0.1575922816991806
62.0,-0.15724167227745056
63.0,0.09023194015026093
64.0,0.09040442109107971
65.0,0.09040442109107971
66.0,0.09040442109107971
