soil__density,prediction
2707.964599609375,-0.12678447365760803
2724.137939453125,-0.12678447365760803
2725.663818359375,-0.12678447365760803
2741.37939453125,-0.12678447365760803
2743.36279296875,-0.12678447365760803
2758.62060546875,-0.12678447365760803
2761.06201171875,-0.12678447365760803
2775.862060546875,-0.12678447365760803
2778.760986328125,-0.12678447365760803
2793.103515625,-0.12678447365760803
2796.460205078125,-0.12678447365760803
2810.3447265625,-0.12678447365760803
2814.1591796875,-0.12678447365760803
2827.586181640625,-0.12678447365760803
2831.8583984375,-0.12678447365760803
2841.530029296875,-0.12678447365760803
2844.82763671875,-0.12682408094406128
2849.5576171875,-0.12682408094406128
2859.744873046875,-0.12682408094406128
2867.256591796875,-0.12682408094406128
2877.9599609375,-0.12855742871761322
2884.955810546875,-0.12855742871761322
2896.1748046875,-0.12885522842407227
2902.65478515625,-0.1303878277540207
2914.389892578125,-0.1303878277540207
2920.35400390625,-0.1303878277540207
2932.604736328125,-0.1303878277540207
2938.052978515625,-0.13089118897914886
2950.819580078125,-0.13089118897914886
2969.03466796875,-0.13089118897914886
2987.24951171875,-0.13089118897914886
3005.464599609375,-0.13089118897914886
3023.679443359375,-0.13089118897914886
