soil__transmissivity,prediction
0.6164600330591201,-0.13246047496795654
0.7875956813656554,-0.12558799982070923
0.9587313296721907,-0.1259460598230362
1.1298669779787258,-0.14435598254203796
1.301002626285261,-0.14294999837875366
1.4721382745917964,-0.127512589097023
1.6432739228983315,-0.12484879046678543
1.814409571204867,-0.12116456031799316
1.985545219511402,-0.11420205980539322
2.156680867817937,-0.12651926279067993
2.3278165161244724,-0.12440238893032074
2.4989521644310075,-0.12240207940340042
2.6700878127375427,-0.12240207940340042
2.841223461044078,-0.12271257489919662
3.012359109350614,-0.12256815284490585
3.183494757657149,-0.12256815284490585
3.3546304059636842,-0.12256815284490585
3.5257660542702194,-0.12256815284490585
3.6969017025767545,-0.12256815284490585
3.8680373508832897,-0.12256815284490585
4.039172999189825,-0.12256815284490585
4.21030864749636,-0.12256815284490585
4.381444295802895,-0.12256815284490585
4.55257994410943,-0.12256815284490585
4.7237155924159655,-0.12256815284490585
4.894851240722501,-0.12256815284490585
5.065986889029036,-0.12256815284490585
5.237122537335572,-0.12256815284490585
5.408258185642107,-0.1221810132265091
5.579393833948642,-0.1221810132265091
5.750529482255177,-0.1221810132265091
5.9216651305617125,-0.1221810132265091
6.092800778868248,-0.1221810132265091
6.263936427174783,-0.1221810132265091
6.435072075481318,-0.1221810132265091
6.606207723787853,-0.1221810132265091
6.777343372094388,-0.1221810132265091
6.9484790204009235,-0.1221810132265091
7.1196146687074595,-0.1221810132265091
7.290750317013995,-0.1221810132265091
7.46188596532053,-0.1221810132265091
7.633021613627065,-0.1221810132265091
7.8041572619336,-0.1221810132265091
7.975292910240135,-0.1221810132265091
8.14642855854667,-0.1221810132265091
8.317564206853206,-0.1221810132265091
8.48869985515974,-0.1221810132265091
8.659835503466276,-0.1221810132265091
8.830971151772811,-0.1221810132265091
9.002106800079346,-0.1221810132265091
