silt__total,prediction
17.0,-0.2474207878112793
18.0,-0.2474207878112793
19.0,-0.2474207878112793
20.0,-0.25884154438972473
21.0,-0.2631177008152008
22.0,-0.11716294288635254
23.0,-0.11241552978754044
24.0,-0.10870116949081421
25.0,-0.11282753944396973
26.0,-0.11280126869678497
27.0,-0.11816845834255219
28.0,-0.11952148377895355
29.0,-0.11815112084150314
30.0,-0.11815112084150314
31.0,-0.11815112084150314
32.0,-0.11710081994533539
33.0,-0.11710081994533539
