landcover,prediction
21.0,-0.11531587690114975
22.0,-0.11577926576137543
23.0,-0.11663874238729477
24.0,-0.11663874238729477
42.0,-0.11663874238729477
43.0,-0.11543981730937958
52.0,-0.12360706180334091
71.0,-0.11809593439102173
90.0,-0.11448051035404205
