soil__thickness,prediction
17.0,-0.1496582180261612
20.306122448979593,-0.14974932372570038
23.612244897959183,-0.14022113382816315
26.918367346938776,-0.13857175409793854
30.224489795918366,-0.13503150641918182
33.53061224489796,-0.13710741698741913
36.83673469387755,-0.13498932123184204
40.14285714285714,-0.13458222150802612
43.44897959183673,-0.13930466771125793
46.755102040816325,-0.13898737728595734
50.06122448979592,-0.14691707491874695
53.36734693877551,-0.18287089467048645
56.673469387755105,-0.20142512023448944
59.9795918367347,-0.20222826302051544
63.285714285714285,-0.19170859456062317
66.59183673469389,-0.17315976321697235
69.89795918367346,-0.17315976321697235
73.20408163265307,-0.17315976321697235
76.51020408163265,-0.17315976321697235
79.81632653061224,-0.17328613996505737
83.12244897959184,-0.17328613996505737
86.42857142857143,-0.17328613996505737
89.73469387755102,-0.17328613996505737
93.04081632653062,-0.17328613996505737
96.34693877551021,-0.17328613996505737
99.6530612244898,-0.17328613996505737
102.9591836734694,-0.17328613996505737
106.26530612244898,-0.17328613996505737
109.57142857142857,-0.17328613996505737
112.87755102040816,-0.17328613996505737
116.18367346938776,-0.17328613996505737
119.48979591836735,-0.17231972515583038
122.79591836734694,-0.17231972515583038
126.10204081632654,-0.17226652801036835
129.40816326530614,-0.17226652801036835
132.71428571428572,-0.17226652801036835
136.0204081632653,-0.17226652801036835
139.3265306122449,-0.17226652801036835
142.6326530612245,-0.17226652801036835
145.9387755102041,-0.17226652801036835
149.24489795918367,-0.17226652801036835
152.55102040816328,-0.16859449446201324
155.85714285714286,-0.16859449446201324
159.16326530612244,-0.16674062609672546
162.46938775510205,-0.1594042330980301
165.77551020408163,-0.15856648981571198
169.08163265306123,-0.15856648981571198
172.3877551020408,-0.1581127792596817
175.69387755102042,-0.15796662867069244
179.0,-0.15796662867069244
