cation__exchange_capacity,prediction
126.0,-0.23280273377895355
127.81632653061224,-0.23290303349494934
129.6326530612245,-0.475798100233078
131.44897959183675,-0.4811447262763977
133.26530612244898,-0.4811587929725647
135.08163265306123,-0.48132386803627014
136.89795918367346,-0.481598824262619
138.71428571428572,-0.4812314808368683
140.53061224489795,-0.4835871756076813
142.3469387755102,0.035257644951343536
144.16326530612244,0.1410587877035141
145.9795918367347,0.14112789928913116
147.79591836734693,-0.1410396546125412
149.6122448979592,-0.14259834587574005
151.42857142857144,-0.14732515811920166
153.24489795918367,-0.14089681208133698
155.0612244897959,-0.12319082766771317
156.87755102040816,-0.1206534206867218
158.69387755102042,-0.12482315301895142
160.51020408163265,-0.12926235795021057
162.32653061224488,-0.13032826781272888
164.14285714285714,-0.13164550065994263
165.9591836734694,-0.13119862973690033
167.77551020408163,-0.13102512061595917
169.59183673469389,-0.13091135025024414
171.40816326530611,-0.13962717354297638
173.22448979591837,-0.11770698428153992
175.0408163265306,-0.11481423676013947
176.85714285714286,-0.11235348880290985
178.67346938775512,-0.11016172915697098
180.48979591836735,-0.11029369384050369
182.30612244897958,-0.1107555404305458
184.12244897959184,-0.11073775589466095
185.9387755102041,-0.11010056734085083
187.75510204081633,-0.10954904556274414
189.57142857142856,-0.10954904556274414
191.3877551020408,-0.10954904556274414
193.20408163265307,-0.10917992889881134
195.0204081632653,-0.10917992889881134
196.83673469387753,-0.10917992889881134
198.6530612244898,-0.10917992889881134
200.46938775510205,-0.10917992889881134
202.28571428571428,-0.1095908135175705
204.10204081632654,-0.10917231440544128
205.9183673469388,-0.10917231440544128
207.73469387755102,-0.111618772149086
209.55102040816325,-0.11310235410928726
211.3673469387755,-0.11293670535087585
213.18367346938777,-0.11293670535087585
215.0,-0.11375739425420761
