soil__saturated_hydraulic_conductivity,prediction
2.8184139728546143,-0.1440552920103073
2.8708875380730143,-0.1440552920103073
2.923361103291414,-0.14219094812870026
2.975834668509814,-0.14564189314842224
3.028308233728214,-0.14564189314842224
3.080781798946614,-0.14564189314842224
3.133255364165014,-0.14564189314842224
3.185728929383414,-0.14564189314842224
3.238202494601814,-0.14564189314842224
3.290676059820214,-0.1457623690366745
3.3431496250386137,-0.13102687895298004
3.3956231902570138,-0.12828798592090607
3.4480967554754134,-0.12828798592090607
3.5005703206938135,-0.13255426287651062
3.5530438859122135,-0.13379216194152832
3.6055174511306136,-0.1325678825378418
3.6579910163490137,-0.127897709608078
3.7104645815674133,-0.12649373710155487
3.7629381467858134,-0.11968429386615753
3.8154117120042135,-0.11491253972053528
3.867885277222613,-0.11890453845262527
3.920358842441013,-0.11952034384012222
3.9728324076594133,-0.11836802959442139
4.025305972877813,-0.11832444369792938
4.0777795380962125,-0.11853402107954025
4.1302531033146135,-0.11852320283651352
4.182726668533013,-0.11855068057775497
4.235200233751413,-0.11903788894414902
4.287673798969813,-0.11898832023143768
4.340147364188213,-0.11898832023143768
4.392620929406613,-0.11941761523485184
4.445094494625013,-0.11992066353559494
4.497568059843413,-0.11999188363552094
4.550041625061812,-0.11981114000082016
4.602515190280212,-0.1193174198269844
4.6549887554986125,-0.1196528747677803
4.7074623207170125,-0.1196528747677803
4.759935885935413,-0.1196528747677803
4.812409451153813,-0.1196528747677803
4.864883016372213,-0.1196528747677803
4.917356581590612,-0.11969859153032303
4.969830146809012,-0.11969859153032303
5.022303712027412,-0.11969859153032303
5.074777277245812,-0.12007467448711395
5.127250842464212,-0.12007467448711395
5.179724407682611,-0.12007467448711395
5.232197972901012,-0.12007467448711395
5.284671538119412,-0.12007467448711395
5.337145103337812,-0.12007467448711395
5.389618668556212,-0.12007467448711395
