saturated__water_content,prediction
0.376418799161911,-0.11363145709037781
0.3767522092984647,-0.11315061151981354
0.37708561943501845,-0.1135268583893776
0.37741902957157214,-0.12301579117774963
0.37775243970812583,-0.12385949492454529
0.3780858498446795,-0.12385949492454529
0.37841925998123327,-0.12385949492454529
0.37875267011778696,-0.12385949492454529
0.37908608025434065,-0.12394779920578003
0.37941949039089434,-0.12906759977340698
0.3797529005274481,-0.12763115763664246
0.3800863106640018,-0.1271602213382721
0.38041972080055547,-0.1279788613319397
0.38075313093710916,-0.128206267952919
0.3810865410736629,-0.128206267952919
0.3814199512102166,-0.1290728598833084
0.3817533613467703,-0.1257471740245819
0.38208677148332404,-0.1265033781528473
0.38242018161987773,-0.12578503787517548
0.3827535917564314,-0.12418406456708908
0.3830870018929851,-0.12503597140312195
0.38342041202953886,-0.12384780496358871
0.38375382216609255,-0.12394949048757553
0.38408723230264624,-0.12375771254301071
0.38442064243919993,-0.12375771254301071
0.3847540525757537,-0.11083783954381943
0.38508746271230737,-0.11893492192029953
0.38542087284886106,-0.1189456656575203
0.38575428298541475,-0.12091038376092911
0.3860876931219685,-0.12091038376092911
0.3864211032585222,-0.12152581661939621
0.3867545133950759,-0.12152581661939621
0.3870879235316296,-0.12144475430250168
0.3874213336681833,-0.12144475430250168
0.387754743804737,-0.12144475430250168
0.3880881539412907,-0.1214214637875557
0.38842156407784445,-0.1214214637875557
0.38875497421439814,-0.12006379663944244
0.38908838435095183,-0.11835316568613052
0.3894217944875055,-0.11833345890045166
0.38975520462405927,-0.11833345890045166
0.39008861476061296,-0.11833345890045166
0.39042202489716665,-0.11833345890045166
0.39075543503372034,-0.11833345890045166
0.3910888451702741,-0.11833345890045166
0.3914222553068278,-0.11833345890045166
0.3917556654433815,-0.11432824283838272
0.3920890755799352,-0.11432824283838272
0.3924224857164889,-0.11432824283838272
0.3927558958530426,-0.11432824283838272
